medcodeid,term,snomedct_conceptid,snomedct_descriptionid,eth16_2001,eth18_2011,eth19_2021
1968121000006114,Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - England and Wales ethnic category 2011 census,976771000000108,2484911000000115,Any other Mixed background,Any other Mixed or multiple ethnic background,Any other Mixed or multiple ethnic background
1968371000006112,Black or African or Caribbean or Black British: other Black or African or Caribbean background - Northern Ireland ethnic category 2011 census,977831000000102,2487121000000119,Any other Black background,"Any other Black, African or Caribbean background","Any other Black, Black British or Caribbean background"
1968201000006114,Black or African or Caribbean or Black British: other Black or African or Caribbean background - England and Wales ethnic category 2011 census,976931000000109,2485231000000119,Any other Black background,"Any other Black, African or Caribbean background","Any other Black, Black British or Caribbean background"
1968561000006112,"Caribbean or Black: Black, Black Scottish or Black British - Scotland ethnic category 2011 census",978341000000102,2488181000000119,Any other Black background,"Any other Black, African or Caribbean background","Any other Black, Black British or Caribbean background"
850671000006119,Traveller - gypsy,40182006,63802019,Any other White background,Gypsy or Irish Traveller,Gypsy or Irish Traveller
2537217015,RACE: White,413773004,2537217015,British,"English, Welsh, Scottish, Northern Irish or British","English, Welsh, Scottish, Northern Irish or British"
196681000006116,RACE: Mixed,414752008,2533847012,White and Black Caribbean,White and Black Caribbean,White and Black Caribbean
196661000006114,RACE: Japanese,414551003,2533843011,Any other ethnic group,Any other Asian background,Any other Asian background
196701000006118,RACE: Oriental,414978006,2533849010,Any other ethnic group,Any other Asian background,Any other Asian background
196671000006119,RACE: Korean,38361009,63432018,Any other ethnic group,Any other Asian background,Any other Asian background
196621000006115,RACE: Arab,90027003,149237014,Any other ethnic group,Arab,Arab
371005013,RACE: Other,103579009,265558016,Any other ethnic group,Any other ethnic group,Any other ethnic group
196731000006114,RACE: Unknown,415794004,2533839012,Not stated,Not stated,Not stated
196691000006118,RACE: Not stated,415226007,2533846015,Not stated,Not stated,Not stated
133078012,Portuguese,80208004,133078012,Any other White background,Any other White background,Any other White background
250222012,European origin,160513005,250222012,Any other White background,Any other White background,Any other White background
250225014,North American origin,160516002,250225014,Any other ethnic group,Any other ethnic group,Any other ethnic group
250226010,South American origin,160517006,250226010,Any other ethnic group,Any other ethnic group,Any other ethnic group
196651000006112,RACE: Chinese,33897005,56590016,Chinese,Chinese,Chinese
1564151000006117,Afghan,1564151000006101,1564151000006117,Any other ethnic group,Any other ethnic group,Any other ethnic group
1564161000006115,Albanian,1564161000006104,1564161000006115,Any other White background,Any other White background,Any other White background
1564181000006113,American,1564181000006109,1564181000006113,Any other ethnic group,Any other ethnic group,Any other ethnic group
1564201000006114,Angolan,1564201000006105,1564201000006114,African,African,African
1564521000006118,Chinese,1564521000006102,1564521000006118,Chinese,Chinese,Chinese
1564731000006113,Filipino,1564731000006109,1564731000006113,Any other ethnic group,Any other Asian background,Any other Asian background
1564801000006113,Ghanaian,1564801000006109,1564801000006113,African,African,African
1564811000006111,Greek,1564811000006107,1564811000006111,Any other White background,Any other White background,Any other White background
1564881000006116,Herzegovinian,1564881000006100,1564881000006116,Any other White background,Any other White background,Any other White background
1564941000006117,Iranian,1564941000006101,1564941000006117,Any other ethnic group,Any other ethnic group,Any other ethnic group
1564951000006115,Iraqi,1564951000006104,1564951000006115,Any other ethnic group,Arab,Arab
1564981000006111,Italian,1564981000006107,1564981000006111,Any other White background,Any other White background,Any other White background
1565011000006116,Japanese,1565011000006100,1565011000006116,Any other ethnic group,Any other Asian background,Any other Asian background
1565071000006113,Korean (North),1565071000006109,1565071000006113,Any other ethnic group,Any other Asian background,Any other Asian background
1565081000006111,Korean (South),1565081000006107,1565081000006111,Any other ethnic group,Any other Asian background,Any other Asian background
