medcodeid,term,snomedct_conceptid,snomedct_descriptionid,eth16_2001,eth18_2011,eth19_2021
937651000006117,other asian or asian unspecified ethnic category 2001 census,92701000000102,141581000000111,Any other Asian background,Any other Asian background,Any other Asian background
411584018,indo-caribbean (nmo),275597009,411584018,Any other Asian background,Any other Asian background,Any other Asian background
411583012,east african asian (nmo),275596000,411583012,Any other Asian background,Any other Asian background,Any other Asian background
136081000000111,sri lankan - ethnic category 2001 census,86461000000107,136081000000111,Any other Asian background,Any other Asian background,Any other Asian background
1968171000006110,asian/asian brit: other asian- eng+wales eth cat 2011 census,976871000000103,2485111000000119,Any other Asian background,Any other Asian background,Any other Asian background
141531000000112,kashmiri - ethnic category 2001 census,92651000000105,141531000000112,Any other Asian background,Any other Asian background,Any other Asian background
141511000000116,mixed asian - ethnic category 2001 census,92631000000103,141511000000116,Any other Mixed background,Any other Mixed or multiple ethnic background,Any other Mixed or multiple ethnic background
250231012,west indian origin,160522006,250231012,Caribbean,Caribbean,Caribbean
285977016,other asian (nmo),186013000,285977016,Any other Asian background,Any other Asian background,Any other Asian background
459784018,other asian ethnic group,315281001,459784018,Any other Asian background,Any other Asian background,Any other Asian background
141551000000117,tamil - ethnic category 2001 census,92671000000101,141551000000117,Any other Asian background,Any other Asian background,Any other Asian background
157301000000116,sinhalese - ethnic category 2001 census,110781000000102,157301000000116,Any other Asian background,Any other Asian background,Any other Asian background
285976013,indian sub-continent (nmo),186012005,285976013,Any other Asian background,Any other Asian background,Any other Asian background
1968521000006118,asian: other asian group - scotland ethnic cat 2011 census,978211000000108,2487891000000113,Any other Asian background,Any other Asian background,Any other Asian background
250224013,asian origin,160515003,250224013,Indian,Indian,Indian
141561000000119,british asian - ethnic category 2001 census,92681000000104,141561000000119,Indian,Indian,Indian
412016016,o/e - asian origin,276029002,412016016,Indian,Indian,Indian
1968361000006117,black/afri/carib/black brit: caribbean- ni eth cat 2011 cens,977811000000105,2487081000000117,Caribbean,Caribbean,Caribbean
1968551000006110,carib/black: caribbean/carib scot/carib brit- scotland 2011,978271000000103,2488011000000113,Caribbean,Caribbean,Caribbean
154401000000118,caribbean - ethnic category 2001 census,107691000000105,154401000000118,Caribbean,Caribbean,Caribbean
5516681000006114,black caribbean/west india/guyana,270460000,2983029017,Caribbean,Caribbean,Caribbean
514611000006111,black caribbean,185988007,285930014,Caribbean,Caribbean,Caribbean
1968191000006111,black/african/caribbn/black brit: caribbean - eng+wales 2011,976911000000101,2485191000000111,Caribbean,Caribbean,Caribbean
1564491000006115,central african,1564491000006104,1564491000006115,African,African,African
1968181000006113,black/african/carib/black brit: african- eng+wales 2011 cens,976891000000104,2485151000000115,African,African,African
285943014,black - other african country,185993005,285943014,African,African,African
285971015,other african countries (nmo),186010002,285971015,African,African,African
4917081000006119,central african republic,223522008,336370018,African,African,African
141391000000115,african - ethnic category 2001 census,92491000000104,141391000000115,African,African,African
1968351000006119,black/afri/carib/black brit: african- ni eth cat 2011 census,977791000000109,2487041000000113,African,African,African
250223019,african origin,160514004,250223019,African,African,African
1968531000006115,african: african/african scot/african brit - scotland 2011,978231000000100,2487931000000115,African,African,African
1565711000006118,south african,1565711000006102,1565711000006118,African,African,African
1968541000006113,african: any other african - scotland ethnic cat 2011 census,978251000000107,2487971000000118,African,African,African
30683015,black african,18167009,30683015,African,African,African
453110019,black guyana,309644006,453110019,Caribbean,Caribbean,Caribbean
459782019,other black ethnic group,315279003,459782019,Any other Black background,"Any other Black, African or Caribbean background","Any other Black, Black British or Caribbean background"
411574019,black arab,275587000,411574019,Any other Black background,Arab,Arab
158351000000119,other black background - ethnic category 2001 census,92501000000105,158351000000119,Any other Black background,"Any other Black, African or Caribbean background","Any other Black, Black British or Caribbean background"
411580010,guyana (nmo),275593008,411580010,Caribbean,Caribbean,Caribbean
411578016,caribbean island (nmo),275591005,411578016,Caribbean,Caribbean,Caribbean
285948017,black indian sub-continent,185995003,285948017,Any other Black background,"Any other Black, African or Caribbean background","Any other Black, Black British or Caribbean background"
285950013,black black - other,185989004,285931013,Any other Black background,"Any other Black, African or Caribbean background","Any other Black, Black British or Caribbean background"
196601000006113,race: afro-caribbean,413465009,2533840014,African,African,African
285932018,black british,185990008,285932018,African,African,African
453109012,black west indian,309643000,453109012,Caribbean,Caribbean,Caribbean
411573013,black north african,275586009,411573013,African,African,African
285931013,"black, other, non-mixed origin",185989004,285931013,Any other Black background,"Any other Black, African or Caribbean background","Any other Black, Black British or Caribbean background"
141591000000113,somali - ethnic category 2001 census,92711000000100,141591000000113,Any other Black background,"Any other Black, African or Caribbean background","Any other Black, Black British or Caribbean background"
405067016,caribbean i./w.i./guyana (nmo),270463003,405067016,Caribbean,Caribbean,Caribbean
937731000006115,other black or black unspecified ethnic category 2001 census,92741000000104,141611000000117,Any other Black background,"Any other Black, African or Caribbean background","Any other Black, Black British or Caribbean background"
141601000000119,nigerian - ethnic category 2001 census,92731000000108,141601000000119,African,African,African
405064011,black caribbean/w.i./guyana,270460000,405064011,Caribbean,Caribbean,Caribbean
1968571000006117,carib/black: any other black/caribbean grp - scotland 2011,978361000000101,2488221000000112,Any other Black background,"Any other Black, African or Caribbean background","Any other Black, Black British or Caribbean background"
158371000000111,mixed black - ethnic category 2001 census,92721000000106,158371000000111,Any other Mixed background,Any other Mixed or multiple ethnic background,Any other Mixed or multiple ethnic background
285951012,"black - other, mixed",185998001,285951012,Any other Mixed background,Any other Mixed or multiple ethnic background,Any other Mixed or multiple ethnic background
285949013,black - other asian,185996002,285949013,Any other Black background,"Any other Black, African or Caribbean background","Any other Black, Black British or Caribbean background"
405065012,black n african/arab/iranian,270461001,405065012,Any other Black background,Arab,Arab
514651000006112,black e afric asia/indo-caribb,270462008,405066013,Any other Black background,"Any other Black, African or Caribbean background","Any other Black, Black British or Caribbean background"
285930014,black caribbean,185988007,285930014,Caribbean,Caribbean,Caribbean
411576017,black east african asian,275589002,411576017,Any other Black background,"Any other Black, African or Caribbean background","Any other Black, Black British or Caribbean background"
459730016,black - ethnic group,315240009,459730016,African,African,African
411577014,black indo-caribbean,275590006,411577014,Caribbean,Caribbean,Caribbean
411575018,black iranian,275588005,411575018,Any other Black background,"Any other Black, African or Caribbean background","Any other Black, Black British or Caribbean background"
157311000000119,black british - ethnic category 2001 census,110791000000100,157311000000119,African,African,African
411579012,west indian (nmo),275592003,411579012,Caribbean,Caribbean,Caribbean
141401000000117,chinese - ethnic category 2001 census,92511000000107,141401000000117,Chinese,Chinese,Chinese
1968161000006115,asian/asian brit: chinese - eng+wales ethnic cat 2011 census,976851000000107,2485071000000113,Chinese,Chinese,Chinese
1968331000006114,asian/asian british: chinese - ni ethnic cat 2011 census,977751000000101,2486961000000110,Chinese,Chinese,Chinese
1968511000006114,asian: chinese - scotland ethnic category 2011 census,978191000000109,2487851000000117,Chinese,Chinese,Chinese
56590016,chinese,33897005,56590016,Chinese,Chinese,Chinese
1968581000006119,other ethnic grp: arab/arab scot/arab british- scotland 2011,978381000000105,2488261000000116,Any other ethnic group,Arab,Arab
1968211000006112,other ethnic group: arab - eng+wales ethnic cat 2011 census,976951000000102,2485271000000117,Any other ethnic group,Arab,Arab
4740241000006117,british ethnic minority specified (nmo),186006000,2668697019,Any other ethnic group,Any other ethnic group,Any other ethnic group
411581014,north african arab (nmo),275594002,411581014,Any other ethnic group,Arab,Arab
141631000000113,japanese - ethnic category 2001 census,92761000000103,141631000000113,Any other ethnic group,Any other Asian background,Any other Asian background
1968591000006116,other ethnic grp: any other ethnic grp- scotland 2011 census,978401000000105,2488301000000114,Any other ethnic group,Any other ethnic group,Any other ethnic group
138261000000114,iranian - ethnic category 2001 census,89011000000107,138261000000114,Any other ethnic group,Any other ethnic group,Any other ethnic group
286022019,new zealand ethnic group nos,186035008,286006015,Any other ethnic group,Any other ethnic group,Any other ethnic group
286018012,south east asian,186044009,286018012,Any other ethnic group,Any other Asian background,Any other Asian background
937871000006114,"mid east (excl israeli, iranian & arab) - eth cat 2001 cens",94071000000100,142821000000118,Any other ethnic group,Any other ethnic group,Any other ethnic group
141411000000115,other - ethnic category 2001 census,92521000000101,141411000000115,Any other ethnic group,Any other ethnic group,Any other ethnic group
456650013,vietnamese,312859007,456650013,Any other ethnic group,Any other Asian background,Any other Asian background
286017019,other pacific ethnic group,372148003,1210724015,Any other ethnic group,Any other ethnic group,Any other ethnic group
138241000000113,jewish - ethnic category 2001 census,88991000000105,138241000000113,Any other ethnic group,Any other ethnic group,Any other ethnic group
